#1;Ludinghausen 1m Lufttemp 2017
#2;Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
# Zeit [s];T[K]
double default(8761,2);
0;280.35
3600;280.35
7200;280.35
10800;280.25
14400;280.25
18000;280.25
21600;280.25
25200;280.25
28800;280.25
32400;280.25
36000;280.25
39600;280.25
43200;280.25
46800;280.15
50400;280.15
54000;280.15
57600;280.15
61200;280.15
64800;280.15
68400;280.15
72000;280.15
75600;280.15
79200;280.15
82800;280.15
86400;280.05
90000;280.05
93600;280.05
97200;280.05
100800;280.05
104400;280.05
108000;280.05
111600;280.05
115200;280.05
118800;280.05
122400;280.05
126000;279.95
129600;279.95
133200;279.95
136800;279.95
140400;279.95
144000;279.95
147600;279.95
151200;279.95
154800;279.95
158400;279.95
162000;279.95
165600;279.85
169200;279.85
172800;279.85
176400;279.85
180000;279.85
183600;279.85
187200;279.85
190800;279.85
194400;279.85
198000;279.85
201600;279.85
205200;279.85
208800;279.75
212400;279.75
216000;279.75
219600;279.75
223200;279.75
226800;279.75
230400;279.75
234000;279.75
237600;279.75
241200;279.75
244800;279.75
248400;279.75
252000;279.75
255600;279.65
259200;279.65
262800;279.65
266400;279.65
270000;279.65
273600;279.65
277200;279.65
280800;279.65
284400;279.65
288000;279.65
291600;279.65
295200;279.65
298800;279.55
302400;279.55
306000;279.55
309600;279.55
313200;279.55
316800;279.55
320400;279.55
324000;279.55
327600;279.55
331200;279.55
334800;279.55
338400;279.55
342000;279.55
345600;279.55
349200;279.55
352800;279.45
356400;279.45
360000;279.45
363600;279.45
367200;279.45
370800;279.45
374400;279.45
378000;279.45
381600;279.45
385200;279.45
388800;279.45
392400;279.45
396000;279.45
399600;279.45
403200;279.45
406800;279.45
410400;279.45
414000;279.45
417600;279.45
421200;279.45
424800;279.45
428400;279.45
432000;279.45
435600;279.45
439200;279.45
442800;279.45
446400;279.45
450000;279.45
453600;279.45
457200;279.45
460800;279.45
464400;279.35
468000;279.35
471600;279.35
475200;279.35
478800;279.35
482400;279.35
486000;279.35
489600;279.35
493200;279.35
496800;279.35
500400;279.35
504000;279.35
507600;279.35
511200;279.35
514800;279.35
518400;279.35
522000;279.35
525600;279.35
529200;279.35
532800;279.35
536400;279.35
540000;279.35
543600;279.35
547200;279.25
550800;279.25
554400;279.25
558000;279.25
561600;279.25
565200;279.25
568800;279.25
572400;279.25
576000;279.25
579600;279.25
583200;279.25
586800;279.25
590400;279.25
594000;279.25
597600;279.25
601200;279.25
604800;279.25
608400;279.25
612000;279.15
615600;279.15
619200;279.15
622800;279.15
626400;279.15
630000;279.15
633600;279.15
637200;279.15
640800;279.15
644400;279.15
648000;279.15
651600;279.15
655200;279.15
658800;279.15
662400;279.15
666000;279.05
669600;279.05
673200;279.05
676800;279.05
680400;279.05
684000;279.05
687600;279.05
691200;279.05
694800;279.05
698400;279.05
702000;279.05
705600;279.05
709200;279.05
712800;279.05
716400;279.05
720000;279.05
723600;278.95
727200;278.95
730800;278.95
734400;278.95
738000;278.95
741600;278.95
745200;278.95
748800;278.95
752400;278.95
756000;278.95
759600;278.95
763200;278.95
766800;278.95
770400;278.95
774000;278.95
777600;278.95
781200;278.95
784800;278.85
788400;278.85
792000;278.85
795600;278.85
799200;278.85
802800;278.85
806400;278.85
810000;278.85
813600;278.85
817200;278.85
820800;278.85
824400;278.85
828000;278.85
831600;278.85
835200;278.85
838800;278.85
842400;278.85
846000;278.85
849600;278.85
853200;278.85
856800;278.75
860400;278.75
864000;278.75
867600;278.75
871200;278.75
874800;278.75
878400;278.75
882000;278.75
885600;278.75
889200;278.75
892800;278.75
896400;278.75
900000;278.75
903600;278.75
907200;278.75
910800;278.75
914400;278.75
918000;278.75
921600;278.75
925200;278.75
928800;278.75
932400;278.75
936000;278.65
939600;278.65
943200;278.65
946800;278.65
950400;278.65
954000;278.65
957600;278.65
961200;278.65
964800;278.65
968400;278.65
972000;278.65
975600;278.65
979200;278.65
982800;278.65
986400;278.65
990000;278.65
993600;278.65
997200;278.65
1000800;278.65
1004400;278.65
1008000;278.65
1011600;278.65
1015200;278.65
1018800;278.65
1022400;278.65
1026000;278.65
1029600;278.65
1033200;278.65
1036800;278.65
1040400;278.65
1044000;278.65
1047600;278.65
1051200;278.65
1054800;278.65
1058400;278.65
1062000;278.65
1065600;278.65
1069200;278.65
1072800;278.65
1076400;278.65
1080000;278.65
1083600;278.65
1087200;278.65
1090800;278.65
1094400;278.75
1098000;278.75
1101600;278.75
1105200;278.75
1108800;278.75
1112400;278.75
1116000;278.75
1119600;278.75
1123200;278.75
1126800;278.75
1130400;278.75
1134000;278.75
1137600;278.75
1141200;278.75
1144800;278.75
1148400;278.75
1152000;278.75
